state,state_abbr,year,scenario,scenario_label,data_type,observed_temp_2025_c,projected_temp_c,temp_change_from_2025_c
Alabama,AL,2025,ssp126,Low emissions (SSP126),observed,18.09787435669212,18.09787435669212,0.0
Alabama,AL,2026,ssp126,Low emissions (SSP126),projected,18.09787435669212,16.462328522349303,-1.635545834342821
Alabama,AL,2027,ssp126,Low emissions (SSP126),projected,18.09787435669212,15.981334038554975,-2.1165403181371465
Alabama,AL,2028,ssp126,Low emissions (SSP126),projected,18.09787435669212,15.844418394146874,-2.253455962545249
Alabama,AL,2029,ssp126,Low emissions (SSP126),projected,18.09787435669212,16.50778156760143,-1.5900927890906909
Alabama,AL,2030,ssp126,Low emissions (SSP126),projected,18.09787435669212,15.73332076808301,-2.3645535886091116
Alabama,AL,2031,ssp126,Low emissions (SSP126),projected,18.09787435669212,15.723204465011516,-2.374669891680606
Alabama,AL,2032,ssp126,Low emissions (SSP126),projected,18.09787435669212,17.355736431248683,-0.7421379254434389
Alabama,AL,2033,ssp126,Low emissions (SSP126),projected,18.09787435669212,15.471033451920567,-2.6268409047715555
Alabama,AL,2034,ssp126,Low emissions (SSP126),projected,18.09787435669212,16.98448291454895,-1.1133914421431748
Alabama,AL,2035,ssp126,Low emissions (SSP126),projected,18.09787435669212,15.95522274709903,-2.1426516095930914
Alabama,AL,2036,ssp126,Low emissions (SSP126),projected,18.09787435669212,16.111487143260334,-1.9863872134317897
Alabama,AL,2025,ssp245,Medium emissions (SSP245),observed,18.09787435669212,18.09787435669212,0.0
Alabama,AL,2026,ssp245,Medium emissions (SSP245),projected,18.09787435669212,16.104699839614554,-1.993174517077569
Alabama,AL,2027,ssp245,Medium emissions (SSP245),projected,18.09787435669212,16.967415237498404,-1.13045911919372
Alabama,AL,2028,ssp245,Medium emissions (SSP245),projected,18.09787435669212,15.528018594210089,-2.569855762482032
Alabama,AL,2029,ssp245,Medium emissions (SSP245),projected,18.09787435669212,16.64994993055858,-1.4479244261335413
Alabama,AL,2030,ssp245,Medium emissions (SSP245),projected,18.09787435669212,16.41529193124732,-1.6825824254448014
Alabama,AL,2031,ssp245,Medium emissions (SSP245),projected,18.09787435669212,17.20907539815378,-0.8887989585383428
Alabama,AL,2032,ssp245,Medium emissions (SSP245),projected,18.09787435669212,16.18824003536795,-1.9096343213241713
Alabama,AL,2033,ssp245,Medium emissions (SSP245),projected,18.09787435669212,16.4458931958039,-1.6519811608882196
Alabama,AL,2034,ssp245,Medium emissions (SSP245),projected,18.09787435669212,16.63931871852235,-1.4585556381697706
Alabama,AL,2035,ssp245,Medium emissions (SSP245),projected,18.09787435669212,15.916569390624584,-2.1813049660675357
Alabama,AL,2036,ssp245,Medium emissions (SSP245),projected,18.09787435669212,16.250169209529844,-1.8477051471622763
Alabama,AL,2025,ssp585,High emissions (SSP585),observed,18.09787435669212,18.09787435669212,0.0
Alabama,AL,2026,ssp585,High emissions (SSP585),projected,18.09787435669212,15.72206166148042,-2.3758126952116996
Alabama,AL,2027,ssp585,High emissions (SSP585),projected,18.09787435669212,16.68255554614221,-1.4153188105499084
Alabama,AL,2028,ssp585,High emissions (SSP585),projected,18.09787435669212,16.02474544387056,-2.0731289128215593
Alabama,AL,2029,ssp585,High emissions (SSP585),projected,18.09787435669212,16.08993886549793,-2.0079354911941927
Alabama,AL,2030,ssp585,High emissions (SSP585),projected,18.09787435669212,15.697337248894959,-2.4005371077971636
Alabama,AL,2031,ssp585,High emissions (SSP585),projected,18.09787435669212,15.973222576692434,-2.124651779999686
Alabama,AL,2032,ssp585,High emissions (SSP585),projected,18.09787435669212,16.0697439796916,-2.02813037700052
Alabama,AL,2033,ssp585,High emissions (SSP585),projected,18.09787435669212,16.125431043855265,-1.9724433128368564
Alabama,AL,2034,ssp585,High emissions (SSP585),projected,18.09787435669212,17.465166553357985,-0.632707803334136
Alabama,AL,2035,ssp585,High emissions (SSP585),projected,18.09787435669212,17.72926665602688,-0.3686077006652458
Alabama,AL,2036,ssp585,High emissions (SSP585),projected,18.09787435669212,16.57430876419596,-1.5235655924961642
Alaska,AK,2025,ssp126,Low emissions (SSP126),observed,-1.7678869118406106,-1.7678869118406106,0.0
Alaska,AK,2026,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-1.4024101046641755,0.3654768071764351
Alaska,AK,2027,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-3.0829414123614822,-1.3150545005208711
Alaska,AK,2028,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-2.643653200815467,-0.8757662889748562
Alaska,AK,2029,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-2.0103454233017004,-0.24245851146109015
Alaska,AK,2030,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-2.079660350341725,-0.3117734385011144
Alaska,AK,2031,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-1.278778969090648,0.48910794274996255
Alaska,AK,2032,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-3.0643982927291353,-1.2965113808885247
Alaska,AK,2033,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-2.7259527582131646,-0.9580658463725545
Alaska,AK,2034,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-2.0004653362353113,-0.23257842439470092
Alaska,AK,2035,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-3.121782493186389,-1.353895581345778
Alaska,AK,2036,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-3.231587898970369,-1.4637009871297586
Alaska,AK,2025,ssp245,Medium emissions (SSP245),observed,-1.7678869118406106,-1.7678869118406106,0.0
Alaska,AK,2026,ssp245,Medium emissions (SSP245),projected,-1.7678869118406106,-1.8700004351898116,-0.10211352334920085
Alaska,AK,2027,ssp245,Medium emissions (SSP245),projected,-1.7678869118406106,-3.0863644767490053,-1.318477564908395
Alaska,AK,2028,ssp245,Medium emissions (SSP245),projected,-1.7678869118406106,-1.6785752979621298,0.08931161387848048
