state,state_abbr,year,scenario,scenario_label,data_type,observed_temp_2025_c,projected_temp_c,temp_change_from_2025_c,rank_within_scenario
Alabama,AL,2036,ssp126,Low emissions (SSP126),projected,18.09787435669212,16.111487143260334,-1.9863872134317897,36
Alabama,AL,2036,ssp245,Medium emissions (SSP245),projected,18.09787435669212,16.250169209529844,-1.8477051471622763,42
Alabama,AL,2036,ssp585,High emissions (SSP585),projected,18.09787435669212,16.57430876419596,-1.5235655924961642,31
Alaska,AK,2036,ssp126,Low emissions (SSP126),projected,-1.7678869118406106,-3.231587898970369,-1.4637009871297586,27
Alaska,AK,2036,ssp245,Medium emissions (SSP245),projected,-1.7678869118406106,-1.7066614004681437,0.06122551137246639,11
Alaska,AK,2036,ssp585,High emissions (SSP585),projected,-1.7678869118406106,-1.0882401725589463,0.6796467392816642,4
Arizona,AZ,2036,ssp126,Low emissions (SSP126),projected,17.1998226095375,15.29182450493723,-1.907998104600267,32
Arizona,AZ,2036,ssp245,Medium emissions (SSP245),projected,17.1998226095375,15.73998631579802,-1.4598362937394758,36
Arizona,AZ,2036,ssp585,High emissions (SSP585),projected,17.1998226095375,13.938405767318145,-3.2614168422193517,46
Arkansas,AR,2036,ssp126,Low emissions (SSP126),projected,17.0073612014713,14.63850405628051,-2.3688571451907903,46
Arkansas,AR,2036,ssp245,Medium emissions (SSP245),projected,17.0073612014713,15.811140458116656,-1.1962207433546452,32
Arkansas,AR,2036,ssp585,High emissions (SSP585),projected,17.0073612014713,15.189510789251038,-1.8178504122202628,36
California,CA,2036,ssp126,Low emissions (SSP126),projected,15.811853024923483,13.708081113960848,-2.1037719109626356,40
California,CA,2036,ssp245,Medium emissions (SSP245),projected,15.811853024923483,14.05570725803229,-1.7561457668911895,39
California,CA,2036,ssp585,High emissions (SSP585),projected,15.811853024923483,12.39838209022246,-3.413470934701025,47
Colorado,CO,2036,ssp126,Low emissions (SSP126),projected,8.734178220829252,6.775205601406083,-1.9589726194231682,34
Colorado,CO,2036,ssp245,Medium emissions (SSP245),projected,8.734178220829252,7.715511992035886,-1.0186662287933659,27
Colorado,CO,2036,ssp585,High emissions (SSP585),projected,8.734178220829252,6.266455987205671,-2.467722233623581,43
Connecticut,CT,2036,ssp126,Low emissions (SSP126),projected,10.250578703703702,9.37609087637083,-0.8744878273328734,15
Connecticut,CT,2036,ssp245,Medium emissions (SSP245),projected,10.250578703703702,9.277780550930947,-0.9727981527727555,26
Connecticut,CT,2036,ssp585,High emissions (SSP585),projected,10.250578703703702,9.86413520335346,-0.3864435003502433,15
Delaware,DE,2036,ssp126,Low emissions (SSP126),projected,13.430836215870153,12.241431309471409,-1.189404906398745,21
Delaware,DE,2036,ssp245,Medium emissions (SSP245),projected,13.430836215870153,12.243402800136169,-1.1874334157339845,30
Delaware,DE,2036,ssp585,High emissions (SSP585),projected,13.430836215870153,12.955684479180679,-0.47515173668947397,16
Florida,FL,2036,ssp126,Low emissions (SSP126),projected,22.363550369500608,21.508918286170967,-0.8546320833296371,14
Florida,FL,2036,ssp245,Medium emissions (SSP245),projected,22.363550369500608,21.286244922729484,-1.0773054467711234,28
Florida,FL,2036,ssp585,High emissions (SSP585),projected,22.363550369500608,21.654154075555613,-0.7093962939449956,24
Georgia,GA,2036,ssp126,Low emissions (SSP126),projected,18.305834255349293,16.218697618218172,-2.087136637131124,39
Georgia,GA,2036,ssp245,Medium emissions (SSP245),projected,18.305834255349293,16.221044907226702,-2.084789348122592,47
Georgia,GA,2036,ssp585,High emissions (SSP585),projected,18.305834255349293,16.551837833967493,-1.7539964213818013,35
Hawaii,HI,2036,ssp126,Low emissions (SSP126),projected,19.463786783264595,23.051953917380576,3.5881671341159795,1
Hawaii,HI,2036,ssp245,Medium emissions (SSP245),projected,19.463786783264595,22.928945261509647,3.465158478245051,1
Hawaii,HI,2036,ssp585,High emissions (SSP585),projected,19.463786783264595,22.75777989310288,3.293993109838285,1
Idaho,ID,2036,ssp126,Low emissions (SSP126),projected,7.788925704178068,5.3575959199969345,-2.431329784181135,48
Idaho,ID,2036,ssp245,Medium emissions (SSP245),projected,7.788925704178068,5.559456565855488,-2.2294691383225818,49
Idaho,ID,2036,ssp585,High emissions (SSP585),projected,7.788925704178068,4.122889417166027,-3.6660362870120413,50
Illinois,IL,2036,ssp126,Low emissions (SSP126),projected,11.998179970054977,10.547461674148858,-1.4507182959061191,26
Illinois,IL,2036,ssp245,Medium emissions (SSP245),projected,11.998179970054977,11.129701145719867,-0.8684788243351067,21
Illinois,IL,2036,ssp585,High emissions (SSP585),projected,11.998179970054977,11.498136867351269,-0.5000431027037083,17
Indiana,IN,2036,ssp126,Low emissions (SSP126),projected,11.536692946940189,10.338691115281923,-1.1980018316582675,22
Indiana,IN,2036,ssp245,Medium emissions (SSP245),projected,11.536692946940189,10.874683778408397,-0.6620091685317943,19
Indiana,IN,2036,ssp585,High emissions (SSP585),projected,11.536692946940189,11.190099189506228,-0.3465937574339621,13
