state,state_abbr,year,scenario,scenario_label,temp_anomaly,impact_category,impact_score
Alabama,AL,2020,ssp126,Low emissions,0.40077797,Low impact,1
Alaska,AK,2020,ssp126,Low emissions,0.717076,Low impact,1
Arizona,AZ,2020,ssp126,Low emissions,-0.8406865,Low impact,1
Arkansas,AR,2020,ssp126,Low emissions,-0.1847107,Low impact,1
California,CA,2020,ssp126,Low emissions,0.50705314,Low impact,1
Colorado,CO,2020,ssp126,Low emissions,-1.0304139,Low impact,1
Connecticut,CT,2020,ssp126,Low emissions,0.7621002,Low impact,1
Delaware,DE,2020,ssp126,Low emissions,0.64678955,Low impact,1
Florida,FL,2020,ssp126,Low emissions,0.8335637,Low impact,1
Georgia,GA,2020,ssp126,Low emissions,0.6147278,Low impact,1
Hawaii,HI,2020,ssp126,Low emissions,0.2538452,Low impact,1
Idaho,ID,2020,ssp126,Low emissions,0.61965483,Low impact,1
Illinois,IL,2020,ssp126,Low emissions,0.072106495,Low impact,1
Indiana,IN,2020,ssp126,Low emissions,0.18468857,Low impact,1
Iowa,IA,2020,ssp126,Low emissions,-0.28565285,Low impact,1
Kansas,KS,2020,ssp126,Low emissions,-1.2350549,Low impact,1
Kentucky,KY,2020,ssp126,Low emissions,0.2949306,Low impact,1
Louisiana,LA,2020,ssp126,Low emissions,0.12059021,Low impact,1
Maine,ME,2020,ssp126,Low emissions,0.86606854,Low impact,1
Maryland,MD,2020,ssp126,Low emissions,0.65270996,Low impact,1
Massachusetts,MA,2020,ssp126,Low emissions,0.7950592,Low impact,1
Michigan,MI,2020,ssp126,Low emissions,0.21223332,Low impact,1
Minnesota,MN,2020,ssp126,Low emissions,-0.43794492,Low impact,1
Mississippi,MS,2020,ssp126,Low emissions,0.12149429,Low impact,1
Missouri,MO,2020,ssp126,Low emissions,-0.36377597,Low impact,1
Montana,MT,2020,ssp126,Low emissions,-0.43432778,Low impact,1
Nebraska,NE,2020,ssp126,Low emissions,-1.4392377,Low impact,1
Nevada,NV,2020,ssp126,Low emissions,0.30324554,Low impact,1
New Hampshire,NH,2020,ssp126,Low emissions,0.92453,Low impact,1
New Jersey,NJ,2020,ssp126,Low emissions,0.7398987,Low impact,1
New Mexico,NM,2020,ssp126,Low emissions,-1.1481836,Low impact,1
New York,NY,2020,ssp126,Low emissions,0.5226169,Low impact,1
North Carolina,NC,2020,ssp126,Low emissions,0.5617704,Low impact,1
North Dakota,ND,2020,ssp126,Low emissions,-0.5379298,Low impact,1
